"year","month","temperature"
1919,"June","16.1"
1920,"June","15.6"
1921,"June","17.9"
1922,"June","17.5"
1923,"June","16.1"
1924,"June","21.3"
1925,"June","14.9"
1926,"June","17.5"
1927,"June","19.7"
1928,"June","14.3"
1929,"June","15.4"
1930,"June",17
1931,"June","17.9"
1932,"June","17.7"
1933,"June","14.8"
1934,"June","17.5"
1935,"June","19.2"
1936,"June",19
1937,"June","19.5"
1938,"June","18.6"
1939,"June","19.5"
1940,"June",19
1941,"June",16
1942,"June","15.3"
1943,"June","17.9"
1944,"June","17.5"
1945,"June","17.1"
1946,"June","21.2"
1947,"June","19.9"
1948,"June","19.9"
1949,"June","16.5"
1950,"June","17.5"
1951,"June","19.3"
1952,"June","17.4"
1953,"June","20.9"
1954,"June","21.8"
1955,"June","16.9"
1956,"June","20.9"
1957,"June","18.9"
1958,"June","16.7"
1959,"June",19
1960,"June","19.3"
1961,"June","20.3"
1962,"June","16.8"
1963,"June","17.4"
1964,"June","22.3"
1965,"June","17.6"
1966,"June","16.9"
1967,"June","18.2"
1968,"June","20.1"
1969,"June","17.3"
1970,"June","17.2"
1971,"June","18.1"
1972,"June","19.7"
1973,"June","17.9"
1974,"June",17
1975,"June","20.7"
1976,"June","16.2"
1977,"June","17.2"
1978,"June","16.6"
1979,"June","21.5"
1980,"June","17.1"
1981,"June","21.1"
1982,"June","16.9"
1983,"June","18.2"
1984,"June","15.7"
1985,"June","16.7"
1986,"June","19.3"
1987,"June","18.2"
1988,"June","18.3"
1989,"June","19.4"
1990,"June","16.9"
1991,"June","18.5"
1992,"June","18.7"
1993,"June","16.7"
1994,"June","16.3"
1995,"June","20.1"
1996,"June","18.8"
1997,"June","18.3"
1998,"June","19.8"
1999,"June","22.6"
2000,"June","17.9"
2001,"June","16.7"
2002,"June","18.4"
2003,"June",18
2004,"June","17.7"
2005,"June","17.3"
2006,"June","18.4"
2007,"June","20.4"
2008,"June","18.8"
2009,"June","20.4"
2010,"June",22
2011,"June","21.1"
2012,"June",20
2013,"June","21.6"
2014,"June","18.2"
1812,"July","21.2"
1813,"July","18.8"
1814,"July","21.6"
1815,"July","17.6"
1816,"July","18.5"
1817,"July","20.6"
1818,"July","19.4"
1819,"July","19.7"
1820,"July","17.1"
1821,"July",19
1822,"July",21
1823,"July","18.8"
1824,"July","16.7"
1825,"July","15.3"
1826,"July","20.9"
1827,"July","18.9"
1828,"July","18.9"
1829,"July","19.7"
1830,"July","15.7"
1831,"July","17.2"
1832,"July","14.9"
1833,"July","17.6"
1834,"July",21
1835,"July","17.4"
1836,"July","17.3"
1837,"July","15.9"
1838,"July","18.4"
